BillNo,Billdate,NetAmount,Description,ConsigneeName,Transporter,Godown,TotReels,TotWeight,GAmount,VehicleNo,Distributor
KPM/2022-23/4068,07/02/2023,98706,Local,ALIGN COMPONENTS PVT. LTD. (BUII),SELF TRANSPORTER,PM2 GODOWN,4,3039,86611.5,MH43E7187,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/4069,07/02/2023,90054,Local,YOJ PACK KRAFT - SP,SABOO TRANSPORT SERVICE,PM2 GODOWN,4,2550,80325,MH12UM5774,S PAPERS
KPM/2022-23/4070,07/02/2023,140451,Local,INDUSTRIAL PACKAGING PRODUCTS -S,PATEL TRANSPORT,PM2 GODOWN,6,4519,125402.25,MH20BT8627,SHRINIWAS ENTERPRISES
KPM/2022-23/4071,07/02/2023,268785,Local,YOJ PACK KRAFT - SP,SABOO TRANSPORT SERVICE,PM3 GODOWN,13,7611,239746.5,MH12UM5774,S PAPERS
KPM/2022-23/4072,07/02/2023,136379,Local,INDUSTRIAL PACKAGING PRODUCTS -S,PATEL TRANSPORT,PM3 GODOWN,6,4388,121767,MH20AT8627,SHRINIWAS ENTERPRISES
KPM/2022-23/4073,07/02/2023,113463,Local,Sahyadri Packaging Industries-VP,PARTY TRANSPORT,PM3 GODOWN,6,2955,101205,MH20EL4124,VEDANT PACKER PVT. LTD.
KPM/2022-23/4074,07/02/2023,68780,Local,DBS Packaging Pvt Ltd-,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,3,1979,61349,MH12DT4799,VEDANT PACKER PVT. LTD.
KPM/2022-23/4075,07/02/2023,230285,Local,DBS Packaging Pvt Ltd-,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,8,6626,205406,MH12DT4799,VEDANT PACKER PVT. LTD.
KPM/2022-23/4076,07/02/2023,218577,Local,GOPALA KRAFT PACK PVT LTD. - CTC,PARTY TRANSPORT,PM3 GODOWN,9,7323,195157.95,MH04GC0852,CONTINENTAL TRADE CORPORATION
KPM/2022-23/4078,07/02/2023,80665,Local,AKANKSHA PLAST-N-PRINT PVT  LTD,PARTY TRANSPORT,PM3 GODOWN,3,2439,71950.5,MH18AA7437,AKANKSHA PLAST-N-PRINT PVT  LTD
